car: retangulo: - x:9750.000000 - y:0.000000 - w:11700.000000 - h:2724.000000
cep quadra:b8-1.76, area: 9696.000000
cep quadra:b8-2.110, area: 1202304.000000
cep quadra:b8-2.111, area: 1212000.000000
cep quadra:b8-2.112, area: 1221696.000000
cep quadra:b8-2.113, area: 1231392.000000
cep quadra:b8-2.114, area: 1241088.000000
cep quadra:b8-2.115, area: 1250784.000000
cep quadra:b8-2.116, area: 1260480.000000
cep quadra:b8-2.117, area: 1270176.000000
cep quadra:b8-2.118, area: 1279872.000000
cep quadra:b8-2.119, area: 1289568.000000
cep quadra:b8-2.120, area: 1299264.000000
cep quadra:b8-2.121, area: 1308960.000000
cep quadra:b8-2.122, area: 1318656.000000
cep quadra:b8-2.123, area: 1328352.000000
cep quadra:b8-2.124, area: 1338048.000000
cep quadra:b8-2.125, area: 1347744.000000
cep quadra:b8-2.126, area: 1357440.000000
cep quadra:b8-2.127, area: 1367136.000000
cep quadra:b8-2.128, area: 1376832.000000
cep quadra:b8-2.129, area: 1386528.000000
cep quadra:b8-2.130, area: 1396224.000000
cep quadra:b8-2.131, area: 1405920.000000
cep quadra:b8-2.132, area: 1415616.000000
cep quadra:b8-2.133, area: 1425312.000000
cep quadra:b8-2.134, area: 1435008.000000
cep quadra:b8-2.135, area: 1444704.000000
cep quadra:b8-2.136, area: 1454400.000000
cep quadra:b8-2.137, area: 1464096.000000
cep quadra:b8-2.138, area: 1473792.000000
cep quadra:b8-2.139, area: 1483488.000000
cep quadra:b8-2.140, area: 1493184.000000
cep quadra:b8-2.141, area: 1502880.000000
cep quadra:b8-2.142, area: 1512576.000000
cep quadra:b8-2.143, area: 1522272.000000
cep quadra:b8-2.144, area: 1531968.000000
cep quadra:b8-2.145, area: 1541664.000000
cep quadra:b8-2.146, area: 1551360.000000
cep quadra:b8-2.147, area: 1561056.000000
cep quadra:b8-2.148, area: 1570752.000000
cep quadra:b8-2.149, area: 1580448.000000
cep quadra:b8-2.150, area: 1590144.000000
cep quadra:b8-2.151, area: 1599840.000000
cep quadra:b8-2.152, area: 1609536.000000
cep quadra:b8-2.153, area: 1619232.000000
cep quadra:b8-2.154, area: 1628928.000000
cep quadra:b8-2.155, area: 1638624.000000
cep quadra:b8-2.156, area: 1648320.000000
cep quadra:b8-2.157, area: 1658016.000000
cep quadra:b8-2.158, area: 1667712.000000
cep quadra:b8-2.159, area: 1677408.000000
cep quadra:b8-2.160, area: 1687104.000000
cep quadra:b8-2.161, area: 1696800.000000
cep quadra:b8-2.162, area: 1706496.000000
cep quadra:b8-2.163, area: 1716192.000000
cep quadra:b8-2.164, area: 1725888.000000
cep quadra:b8-3.76, area: 1735584.000000
cep quadra:b8-3.77, area: 1745280.000000
cep quadra:b8-3.78, area: 1754976.000000
cep quadra:b8-3.79, area: 1764672.000000
cep quadra:b8-3.80, area: 1774368.000000
cep quadra:b8-3.81, area: 1784064.000000
cep quadra:b8-3.82, area: 1793760.000000
cep quadra:b8-3.83, area: 1803456.000000
cep quadra:b8-3.84, area: 1813152.000000
cep quadra:b8-3.85, area: 1822848.000000
cep quadra:b8-3.86, area: 1832544.000000
cep quadra:b8-3.87, area: 1842240.000000
cep quadra:b8-3.88, area: 1851936.000000
cep quadra:b8-3.89, area: 1861632.000000
cep quadra:b8-3.90, area: 1871328.000000
cep quadra:b8-3.91, area: 1881024.000000
cep quadra:b8-3.92, area: 1890720.000000
cep quadra:b8-3.93, area: 1900416.000000
cep quadra:b8-3.94, area: 1910112.000000
cep quadra:b8-3.95, area: 1919808.000000
cep quadra:b8-3.96, area: 1929504.000000
cep quadra:b8-3.97, area: 1939200.000000
cep quadra:b8-3.98, area: 1948896.000000
cep quadra:b8-3.99, area: 1958592.000000
cep quadra:b8-3.100, area: 1968288.000000
cep quadra:b8-3.101, area: 1977984.000000
cep quadra:b8-3.102, area: 1987680.000000
cep quadra:b8-3.103, area: 1997376.000000
cep quadra:b8-3.104, area: 2007072.000000
cep quadra:b8-3.105, area: 2016768.000000
cep quadra:b8-3.106, area: 2026464.000000
cep quadra:b8-3.107, area: 2036160.000000
cep quadra:b8-3.108, area: 2045856.000000
cep quadra:b8-3.109, area: 2055552.000000
cep quadra:b8-3.110, area: 2065248.000000
cep quadra:b8-3.111, area: 2074944.000000
cep quadra:b8-3.112, area: 2084640.000000
cep quadra:b8-3.113, area: 2094336.000000
cep quadra:b8-3.114, area: 2104032.000000
cep quadra:b8-3.115, area: 2113728.000000
cep quadra:b8-3.116, area: 2123424.000000
cep quadra:b8-3.117, area: 2133120.000000
cep quadra:b8-3.118, area: 2142816.000000
cep quadra:b8-3.119, area: 2152512.000000
cep quadra:b8-3.120, area: 2162208.000000
cep quadra:b8-3.121, area: 2171904.000000
cep quadra:b8-3.122, area: 2181600.000000
cep quadra:b8-3.123, area: 2191296.000000
cep quadra:b8-3.124, area: 2200992.000000
cep quadra:b8-3.125, area: 2210688.000000
cep quadra:b8-3.126, area: 2220384.000000
cep quadra:b8-3.127, area: 2230080.000000
cep quadra:b8-3.128, area: 2239776.000000
cep quadra:b8-3.129, area: 2249472.000000
cep quadra:b8-3.130, area: 2259168.000000
cep quadra:b8-3.131, area: 2268864.000000
cep quadra:b8-3.132, area: 2278560.000000
cep quadra:b8-3.133, area: 2288256.000000
cep quadra:b8-3.134, area: 2297952.000000
cep quadra:b8-3.135, area: 2307648.000000
cep quadra:b8-3.136, area: 2317344.000000
cep quadra:b8-3.137, area: 2327040.000000
cep quadra:b8-3.138, area: 2336736.000000
cep quadra:b8-3.139, area: 2346432.000000
cep quadra:b8-3.140, area: 2356128.000000
cep quadra:b8-3.141, area: 2365824.000000
cep quadra:b8-3.142, area: 2375520.000000
cep quadra:b8-3.143, area: 2385216.000000
cep quadra:b8-3.144, area: 2394912.000000
cep quadra:b8-3.145, area: 2404608.000000
cep quadra:b8-3.146, area: 2414304.000000
cep quadra:b8-3.147, area: 2424000.000000
cep quadra:b8-3.148, area: 2433696.000000
cep quadra:b8-3.149, area: 2443392.000000
cep quadra:b8-3.150, area: 2453088.000000
cep quadra:b8-3.151, area: 2462784.000000
cep quadra:b8-3.152, area: 2472480.000000
cep quadra:b8-3.153, area: 2482176.000000
cep quadra:b8-3.154, area: 2491872.000000
cep quadra:b8-3.155, area: 2501568.000000
cep quadra:b8-3.156, area: 2511264.000000
cep quadra:b8-3.157, area: 2520960.000000
cep quadra:b8-3.158, area: 2530656.000000
cep quadra:b8-3.159, area: 2540352.000000
cep quadra:b8-3.160, area: 2550048.000000
cep quadra:b8-3.161, area: 2559744.000000
cep quadra:b8-3.162, area: 2569440.000000
cep quadra:b8-3.163, area: 2579136.000000
cep quadra:b8-3.164, area: 2588832.000000
cep quadra:b8-4.76, area: 2598528.000000
cep quadra:b8-4.77, area: 2608224.000000
cep quadra:b8-4.78, area: 2617920.000000
cep quadra:b8-4.79, area: 2627616.000000
cep quadra:b8-4.80, area: 2637312.000000
cep quadra:b8-4.81, area: 2647008.000000
cep quadra:b8-4.82, area: 2656704.000000
cep quadra:b8-4.83, area: 2666400.000000
cep quadra:b8-4.84, area: 2676096.000000
cep quadra:b8-4.85, area: 2685792.000000
cep quadra:b8-4.86, area: 2695488.000000
cep quadra:b8-4.87, area: 2705184.000000
cep quadra:b8-4.88, area: 2714880.000000
cep quadra:b8-4.89, area: 2724576.000000
cep quadra:b8-4.90, area: 2734272.000000
cep quadra:b8-4.91, area: 2743968.000000
cep quadra:b8-4.92, area: 2753664.000000
cep quadra:b8-4.93, area: 2763360.000000
cep quadra:b8-4.94, area: 2773056.000000
cep quadra:b8-4.95, area: 2782752.000000
cep quadra:b8-4.96, area: 2792448.000000
cep quadra:b8-4.97, area: 2802144.000000
cep quadra:b8-4.98, area: 2811840.000000
cep quadra:b8-4.99, area: 2821536.000000
cep quadra:b8-4.100, area: 2831232.000000
cep quadra:b8-4.101, area: 2840928.000000
cep quadra:b8-4.102, area: 2850624.000000
cep quadra:b8-4.103, area: 2860320.000000
cep quadra:b8-4.104, area: 2870016.000000
cep quadra:b8-4.105, area: 2879712.000000
cep quadra:b8-4.106, area: 2889408.000000
cep quadra:b8-4.107, area: 2899104.000000
cep quadra:b8-4.108, area: 2908800.000000
cep quadra:b8-4.109, area: 2918496.000000
cep quadra:b8-4.110, area: 2928192.000000
cep quadra:b8-4.111, area: 2937888.000000
cep quadra:b8-4.112, area: 2947584.000000
cep quadra:b8-4.113, area: 2957280.000000
cep quadra:b8-4.114, area: 2966976.000000
cep quadra:b8-4.115, area: 2976672.000000
cep quadra:b8-4.116, area: 2986368.000000
cep quadra:b8-4.117, area: 2996064.000000
cep quadra:b8-4.118, area: 3005760.000000
cep quadra:b8-4.119, area: 3015456.000000
cep quadra:b8-4.120, area: 3025152.000000
cep quadra:b8-4.121, area: 3034848.000000
cep quadra:b8-4.122, area: 3044544.000000
cep quadra:b8-4.123, area: 3054240.000000
cep quadra:b8-4.124, area: 3063936.000000
cep quadra:b8-4.125, area: 3073632.000000
cep quadra:b8-4.126, area: 3083328.000000
cep quadra:b8-4.127, area: 3093024.000000
cep quadra:b8-4.128, area: 3102720.000000
cep quadra:b8-4.129, area: 3112416.000000
cep quadra:b8-4.130, area: 3122112.000000
cep quadra:b8-4.131, area: 3131808.000000
cep quadra:b8-4.132, area: 3141504.000000
cep quadra:b8-4.133, area: 3151200.000000
cep quadra:b8-4.134, area: 3160896.000000
cep quadra:b8-4.135, area: 3170592.000000
cep quadra:b8-4.136, area: 3180288.000000
cep quadra:b8-4.137, area: 3189984.000000
cep quadra:b8-4.138, area: 3199680.000000
cep quadra:b8-4.139, area: 3209376.000000
cep quadra:b8-4.140, area: 3219072.000000
cep quadra:b8-4.141, area: 3228768.000000
cep quadra:b8-4.142, area: 3238464.000000
cep quadra:b8-4.143, area: 3248160.000000
cep quadra:b8-4.144, area: 3257856.000000
cep quadra:b8-4.145, area: 3267552.000000
cep quadra:b8-4.146, area: 3277248.000000
cep quadra:b8-4.147, area: 3286944.000000
cep quadra:b8-4.148, area: 3296640.000000
cep quadra:b8-4.149, area: 3306336.000000
cep quadra:b8-4.150, area: 3316032.000000
cep quadra:b8-4.151, area: 3325728.000000
cep quadra:b8-4.152, area: 3335424.000000
cep quadra:b8-4.153, area: 3345120.000000
cep quadra:b8-4.154, area: 3354816.000000
cep quadra:b8-4.155, area: 3364512.000000
cep quadra:b8-4.156, area: 3374208.000000
cep quadra:b8-4.157, area: 3383904.000000
cep quadra:b8-4.158, area: 3393600.000000
cep quadra:b8-4.159, area: 3403296.000000
cep quadra:b8-4.160, area: 3412992.000000
cep quadra:b8-4.161, area: 3422688.000000
cep quadra:b8-4.162, area: 3432384.000000
cep quadra:b8-4.163, area: 3442080.000000
cep quadra:b8-4.164, area: 3451776.000000
cep quadra:b8-5.76, area: 3461472.000000
cep quadra:b8-5.77, area: 3471168.000000
cep quadra:b8-5.78, area: 3480864.000000
cep quadra:b8-5.79, area: 3490560.000000
cep quadra:b8-5.80, area: 3500256.000000
cep quadra:b8-5.81, area: 3509952.000000
cep quadra:b8-5.82, area: 3519648.000000
cep quadra:b8-5.83, area: 3529344.000000
cep quadra:b8-5.84, area: 3539040.000000
cep quadra:b8-5.85, area: 3548736.000000
cep quadra:b8-5.86, area: 3558432.000000
cep quadra:b8-5.87, area: 3568128.000000
cep quadra:b8-5.88, area: 3577824.000000
cep quadra:b8-5.89, area: 3587520.000000
cep quadra:b8-5.90, area: 3597216.000000
cep quadra:b8-5.91, area: 3606912.000000
cep quadra:b8-5.92, area: 3616608.000000
cep quadra:b8-5.93, area: 3626304.000000
cep quadra:b8-5.94, area: 3636000.000000
cep quadra:b8-5.95, area: 3645696.000000
cep quadra:b8-5.96, area: 3655392.000000
cep quadra:b8-5.97, area: 3665088.000000
cep quadra:b8-5.98, area: 3674784.000000
cep quadra:b8-5.99, area: 3684480.000000
cep quadra:b8-5.100, area: 3694176.000000
cep quadra:b8-5.101, area: 3703872.000000
cep quadra:b8-5.102, area: 3713568.000000
cep quadra:b8-5.103, area: 3723264.000000
cep quadra:b8-5.104, area: 3732960.000000
cep quadra:b8-5.105, area: 3742656.000000
cep quadra:b8-5.106, area: 3752352.000000
cep quadra:b8-5.107, area: 3762048.000000
cep quadra:b8-5.108, area: 3771744.000000
cep quadra:b8-5.109, area: 3781440.000000
cep quadra:b8-5.110, area: 3791136.000000
cep quadra:b8-5.111, area: 3800832.000000
cep quadra:b8-5.112, area: 3810528.000000
cep quadra:b8-5.113, area: 3820224.000000
cep quadra:b8-5.114, area: 3829920.000000
cep quadra:b8-5.115, area: 3839616.000000
cep quadra:b8-5.116, area: 3849312.000000
cep quadra:b8-5.117, area: 3859008.000000
cep quadra:b8-5.118, area: 3868704.000000
cep quadra:b8-5.119, area: 3878400.000000
cep quadra:b8-5.120, area: 3888096.000000
cep quadra:b8-5.121, area: 3897792.000000
cep quadra:b8-5.122, area: 3907488.000000
cep quadra:b8-5.123, area: 3917184.000000
cep quadra:b8-5.124, area: 3926880.000000
cep quadra:b8-5.125, area: 3936576.000000
cep quadra:b8-5.126, area: 3946272.000000
cep quadra:b8-5.127, area: 3955968.000000
cep quadra:b8-5.128, area: 3965664.000000
cep quadra:b8-5.129, area: 3975360.000000
cep quadra:b8-5.130, area: 3985056.000000
cep quadra:b8-5.131, area: 3994752.000000
cep quadra:b8-5.132, area: 4004448.000000
cep quadra:b8-5.133, area: 4014144.000000
cep quadra:b8-5.134, area: 4023840.000000
cep quadra:b8-5.135, area: 4033536.000000
cep quadra:b8-5.136, area: 4043232.000000
cep quadra:b8-5.137, area: 4052928.000000
cep quadra:b8-5.138, area: 4062624.000000
cep quadra:b8-5.139, area: 4072320.000000
cep quadra:b8-5.140, area: 4082016.000000
cep quadra:b8-5.141, area: 4091712.000000
cep quadra:b8-5.142, area: 4101408.000000
cep quadra:b8-5.143, area: 4111104.000000
cep quadra:b8-5.144, area: 4120800.000000
cep quadra:b8-5.145, area: 4130496.000000
cep quadra:b8-5.146, area: 4140192.000000
cep quadra:b8-5.147, area: 4149888.000000
cep quadra:b8-5.148, area: 4159584.000000
cep quadra:b8-5.149, area: 4169280.000000
cep quadra:b8-5.150, area: 4178976.000000
cep quadra:b8-5.151, area: 4188672.000000
cep quadra:b8-5.152, area: 4198368.000000
cep quadra:b8-5.153, area: 4208064.000000
cep quadra:b8-5.154, area: 4217760.000000
cep quadra:b8-5.155, area: 4227456.000000
cep quadra:b8-5.156, area: 4237152.000000
cep quadra:b8-5.157, area: 4246848.000000
cep quadra:b8-5.158, area: 4256544.000000
cep quadra:b8-5.159, area: 4266240.000000
cep quadra:b8-5.160, area: 4275936.000000
cep quadra:b8-5.161, area: 4285632.000000
cep quadra:b8-5.162, area: 4295328.000000
cep quadra:b8-5.163, area: 4305024.000000
cep quadra:b8-5.164, area: 4314720.000000
cep quadra:b8-6.76, area: 4324416.000000
cep quadra:b8-6.77, area: 4334112.000000
cep quadra:b8-6.78, area: 4343808.000000
cep quadra:b8-6.79, area: 4353504.000000
cep quadra:b8-6.80, area: 4363200.000000
cep quadra:b8-6.81, area: 4372896.000000
cep quadra:b8-6.82, area: 4382592.000000
cep quadra:b8-6.83, area: 4392288.000000
cep quadra:b8-6.84, area: 4401984.000000
cep quadra:b8-6.85, area: 4411680.000000
cep quadra:b8-6.86, area: 4421376.000000
cep quadra:b8-6.87, area: 4431072.000000
cep quadra:b8-6.88, area: 4440768.000000
cep quadra:b8-6.89, area: 4450464.000000
cep quadra:b8-6.90, area: 4460160.000000
cep quadra:b8-6.91, area: 4469856.000000
cep quadra:b8-6.92, area: 4479552.000000
cep quadra:b8-6.93, area: 4489248.000000
cep quadra:b8-6.94, area: 4498944.000000
cep quadra:b8-6.95, area: 4508640.000000
cep quadra:b8-6.96, area: 4518336.000000
cep quadra:b8-6.97, area: 4528032.000000
cep quadra:b8-6.98, area: 4537728.000000
cep quadra:b8-6.99, area: 4547424.000000
cep quadra:b8-6.100, area: 4557120.000000
cep quadra:b8-6.101, area: 4566816.000000
cep quadra:b8-6.102, area: 4576512.000000
cep quadra:b8-6.103, area: 4586208.000000
cep quadra:b8-6.104, area: 4595904.000000
cep quadra:b8-6.105, area: 4605600.000000
cep quadra:b8-6.106, area: 4615296.000000
cep quadra:b8-6.107, area: 4624992.000000
cep quadra:b8-6.108, area: 4634688.000000
cep quadra:b8-6.109, area: 4644384.000000
cep quadra:b8-6.110, area: 4654080.000000
cep quadra:b8-6.111, area: 4663776.000000
cep quadra:b8-6.112, area: 4673472.000000
cep quadra:b8-6.113, area: 4683168.000000
cep quadra:b8-6.114, area: 4692864.000000
cep quadra:b8-6.115, area: 4702560.000000
cep quadra:b8-6.116, area: 4712256.000000
cep quadra:b8-6.117, area: 4721952.000000
cep quadra:b8-6.118, area: 4731648.000000
cep quadra:b8-6.119, area: 4741344.000000
cep quadra:b8-6.120, area: 4751040.000000
cep quadra:b8-6.121, area: 4760736.000000
cep quadra:b8-6.122, area: 4770432.000000
cep quadra:b8-6.123, area: 4780128.000000
cep quadra:b8-6.124, area: 4789824.000000
cep quadra:b8-6.125, area: 4799520.000000
cep quadra:b8-6.126, area: 4809216.000000
cep quadra:b8-6.127, area: 4818912.000000
cep quadra:b8-6.128, area: 4828608.000000
cep quadra:b8-6.129, area: 4838304.000000
cep quadra:b8-6.130, area: 4848000.000000
cep quadra:b8-6.131, area: 4857696.000000
cep quadra:b8-6.132, area: 4867392.000000
cep quadra:b8-6.133, area: 4877088.000000
cep quadra:b8-6.134, area: 4886784.000000
cep quadra:b8-6.135, area: 4896480.000000
cep quadra:b8-6.136, area: 4906176.000000
cep quadra:b8-6.137, area: 4915872.000000
cep quadra:b8-6.138, area: 4925568.000000
cep quadra:b8-6.139, area: 4935264.000000
cep quadra:b8-6.140, area: 4944960.000000
cep quadra:b8-6.141, area: 4954656.000000
cep quadra:b8-6.142, area: 4964352.000000
cep quadra:b8-6.143, area: 4974048.000000
cep quadra:b8-6.144, area: 4983744.000000
cep quadra:b8-6.145, area: 4993440.000000
cep quadra:b8-6.146, area: 5003136.000000
cep quadra:b8-6.147, area: 5012832.000000
cep quadra:b8-6.148, area: 5022528.000000
cep quadra:b8-6.149, area: 5032224.000000
cep quadra:b8-6.150, area: 5041920.000000
cep quadra:b8-6.151, area: 5051616.000000
cep quadra:b8-6.152, area: 5061312.000000
cep quadra:b8-6.153, area: 5071008.000000
cep quadra:b8-6.154, area: 5080704.000000
cep quadra:b8-6.155, area: 5090400.000000
cep quadra:b8-6.156, area: 5100096.000000
cep quadra:b8-6.157, area: 5109792.000000
cep quadra:b8-6.158, area: 5119488.000000
cep quadra:b8-6.159, area: 5129184.000000
cep quadra:b8-6.160, area: 5138880.000000
cep quadra:b8-6.161, area: 5148576.000000
cep quadra:b8-6.162, area: 5158272.000000
cep quadra:b8-6.163, area: 5167968.000000
cep quadra:b8-6.164, area: 5177664.000000
cep quadra:b8-7.76, area: 5187360.000000
cep quadra:b8-7.77, area: 5197056.000000
cep quadra:b8-7.78, area: 5206752.000000
cep quadra:b8-7.79, area: 5216448.000000
cep quadra:b8-7.80, area: 5226144.000000
cep quadra:b8-7.81, area: 5235840.000000
cep quadra:b8-7.82, area: 5245536.000000
cep quadra:b8-7.83, area: 5255232.000000
cep quadra:b8-7.84, area: 5264928.000000
cep quadra:b8-7.85, area: 5274624.000000
cep quadra:b8-7.86, area: 5284320.000000
cep quadra:b8-7.87, area: 5294016.000000
cep quadra:b8-7.88, area: 5303712.000000
cep quadra:b8-7.89, area: 5313408.000000
cep quadra:b8-7.90, area: 5323104.000000
cep quadra:b8-7.91, area: 5332800.000000
cep quadra:b8-7.92, area: 5342496.000000
cep quadra:b8-7.93, area: 5352192.000000
cep quadra:b8-7.94, area: 5361888.000000
cep quadra:b8-7.95, area: 5371584.000000
cep quadra:b8-7.96, area: 5381280.000000
cep quadra:b8-7.97, area: 5390976.000000
cep quadra:b8-7.98, area: 5400672.000000
cep quadra:b8-7.99, area: 5410368.000000
cep quadra:b8-7.100, area: 5420064.000000
cep quadra:b8-7.101, area: 5429760.000000
cep quadra:b8-7.102, area: 5439456.000000
cep quadra:b8-7.103, area: 5449152.000000
cep quadra:b8-7.104, area: 5458848.000000
cep quadra:b8-7.105, area: 5468544.000000
cep quadra:b8-7.106, area: 5478240.000000
cep quadra:b8-7.107, area: 5487936.000000
cep quadra:b8-7.108, area: 5497632.000000
cep quadra:b8-7.109, area: 5507328.000000
cep quadra:b8-7.110, area: 5517024.000000
cep quadra:b8-7.111, area: 5526720.000000
cep quadra:b8-7.112, area: 5536416.000000
cep quadra:b8-7.113, area: 5546112.000000
cep quadra:b8-7.114, area: 5555808.000000
cep quadra:b8-7.115, area: 5565504.000000
cep quadra:b8-7.116, area: 5575200.000000
cep quadra:b8-7.117, area: 5584896.000000
cep quadra:b8-7.118, area: 5594592.000000
cep quadra:b8-7.119, area: 5604288.000000
cep quadra:b8-7.120, area: 5613984.000000
cep quadra:b8-7.121, area: 5623680.000000
cep quadra:b8-7.122, area: 5633376.000000
cep quadra:b8-7.123, area: 5643072.000000
cep quadra:b8-7.124, area: 5652768.000000
cep quadra:b8-7.125, area: 5662464.000000
cep quadra:b8-7.126, area: 5672160.000000
cep quadra:b8-7.127, area: 5681856.000000
cep quadra:b8-7.128, area: 5691552.000000
cep quadra:b8-7.129, area: 5701248.000000
cep quadra:b8-7.130, area: 5710944.000000
cep quadra:b8-7.131, area: 5720640.000000
cep quadra:b8-7.132, area: 5730336.000000
cep quadra:b8-7.133, area: 5740032.000000
cep quadra:b8-7.134, area: 5749728.000000
cep quadra:b8-7.135, area: 5759424.000000
cep quadra:b8-7.136, area: 5769120.000000
cep quadra:b8-7.137, area: 5778816.000000
cep quadra:b8-7.138, area: 5788512.000000
cep quadra:b8-7.139, area: 5798208.000000
cep quadra:b8-7.140, area: 5807904.000000
cep quadra:b8-7.141, area: 5817600.000000
cep quadra:b8-7.142, area: 5827296.000000
cep quadra:b8-7.143, area: 5836992.000000
cep quadra:b8-7.144, area: 5846688.000000
cep quadra:b8-7.145, area: 5856384.000000
cep quadra:b8-7.146, area: 5866080.000000
cep quadra:b8-7.147, area: 5875776.000000
cep quadra:b8-7.148, area: 5885472.000000
cep quadra:b8-7.149, area: 5895168.000000
